family_id,family_display_name,family_utility_name,current_label,current_name,current_startdate,earliest_available_startdate,baseline_label,baseline_name,baseline_startdate,name_changed_over_window,actual_years_spanned,blended_energy_rate_cagr_10yr,blended_energy_rate_cagr_10yr_needs_review,years_of_available_history,status,reason
539f6e6cec4f024411ecc207,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Single Phase (At 220kV)",Southern California Edison Co,6753212e7850a3ccad055aaf,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Single Phase (At 220kV)",2024-10-01 06:00:00+00:00,2014-01-29 13:00:00+00:00,539f6e6cec4f024411ecc207,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Single Phase (At 220kV)",2014-01-29 13:00:00+00:00,False,10.669404517453799,0.04507486042612263,False,10.669404517453799,included,ok
539f6e9eec4f024411ecc4b9,GS-1 TOU A General Service Non-Demand Single Phase (50 kV - 220 kV),Southern California Edison Co,66d094ad53fce9ed17096f5d,GS-1 TOU A General Service Non-Demand Single Phase (50 kV - 220 kV),2024-06-01 07:00:00+00:00,2014-01-01 13:00:00+00:00,539f6e9eec4f024411ecc4b9,GS-1 General Service Non-Demand Single Phase Above 50 kV but below 220 kV Discount,2014-01-01 13:00:00+00:00,True,10.412046543463381,0.056979526376265355,False,10.412046543463381,included,ok
539f6eefec4f024411ecc835,GS-1 TOU A General Service Non-Demand Single Phase (At 220 kV),Southern California Edison Co,66d0949c847c0f93fa0dce7f,GS-1 TOU A General Service Non-Demand Single Phase (At 220 kV),2024-06-01 07:00:00+00:00,2014-01-01 13:00:00+00:00,539f6eefec4f024411ecc835,GS-1 General Service Non-Demand Single Phase At 220 kV Discount,2014-01-01 13:00:00+00:00,True,10.412046543463381,0.04411075317459123,False,10.412046543463381,included,ok
539f6ef0ec4f024411ecc871,E-20 Maximum demand of (1000 KW or more) (Primary),Pacific Gas & Electric Co,69de81851e6796dd93026d2e,E-20 Maximum demand of (1000 KW or more) (Primary),2026-03-27 07:00:00+00:00,2014-01-01 08:00:00+00:00,574dbd695457a30e7e5e629f,E-20 Maximum demand of (1000 KW or more) (Primary),2016-03-24 07:00:00+00:00,False,10.00684462696783,0.02728825386806255,False,12.229979466119097,included,ok
539f6f10ec4f024411ecc9a1,Time-Of-Use - General Service - Demand Metered: TOU-GS-3 Option CPP (2kV - 50kV),Southern California Edison Co,539f6f10ec4f024411ecc9a1,Time-Of-Use - General Service - Demand Metered: TOU-GS-3 Option CPP (2kV - 50kV),2014-01-01 08:00:00+00:00,2014-01-01 08:00:00+00:00,,,,,,,False,0.0,excluded,only 0.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6f44ec4f024411eccc8b,Schedule DE Domestic and Farm Service,Turlock Irrigation District,539f6f44ec4f024411eccc8b,Schedule DE Domestic and Farm Service,2012-02-01 13:00:00+00:00,2012-02-01 13:00:00+00:00,,,,,,,False,0.0,excluded,only 0.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6f44ec4f024411eccc9f,Schedule ID Small Industrial Service - Demand Metered 35 to 499 kW,Turlock Irrigation District,5b4cee665457a34946c6d677,Schedule ID Small Industrial Service - Demand Metered 35 to 499 kW,2015-01-01 08:00:00+00:00,2009-02-01 13:00:00+00:00,,,,,,,False,5.9110198494182065,excluded,only 5.9 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6f54ec4f024411eccd05,Schedule FL Flat Rate Service-Not Exceeding 50% Load Factor 1001 - 1200 Watt,Modesto Irrigation District,539f6f54ec4f024411eccd05,Schedule FL Flat Rate Service-Not Exceeding 50% Load Factor 1001 - 1200 Watt,2013-04-01 13:00:00+00:00,2013-04-01 13:00:00+00:00,,,,,,,False,0.0,excluded,only 0.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6f78ec4f024411eccf01,"Time-Of-Use Agricultural and Pumping - Small to Medium: TOU-PA-2, Option E (50kV-220kV)",Southern California Edison Co,67573556868aa979f00ddbfd,"Time-Of-Use Agricultural and Pumping - Small to Medium: TOU-PA-2, Option E (50kV-220kV)",2024-10-01 06:00:00+00:00,2014-01-01 13:00:00+00:00,539f6f78ec4f024411eccf01,"Time-Of-Use Agricutural and Pumping - Small to Medium: TOU-PA-2, Option A (50kV-220kV)",2014-01-01 13:00:00+00:00,True,10.746064339493497,0.05943279454200945,False,10.746064339493497,included,ok
539f6f86ec4f024411eccf13,Large General Service Time of Use - GS-TOU1 (GUS_L),Sacramento Municipal Utility District,557af89d5457a3324c8ba375,Large General Service Time of Use - GS-TOU1 (GUS_L),2015-04-10 07:00:00+00:00,2014-01-01 13:00:00+00:00,,,,,,,False,1.267624914442163,excluded,only 1.3 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
