family_id,family_display_name,family_utility_name,current_label,current_name,current_startdate,baseline_label,baseline_name,baseline_startdate,name_changed_over_window,actual_years_spanned,blended_demand_rate_cagr_10yr,blended_demand_rate_cagr_10yr_needs_review
539fb6c8ec4f024bc1dc0493,Agriculture Power TOU Rate (AG-4B),Pacific Gas & Electric Co,69dea8571ae3be1716020edc,Agriculture Power TOU Rate (AG-4B),2026-03-27 07:00:00+00:00,574dacae5457a30a7e5e629d,Agriculture Power TOU Rate (AG-4B),2016-03-24 07:00:00+00:00,False,10.00684462696783,-0.017098761608909774,False
539fb6fbec4f024bc1dc0657,"Time-Of-Use - General Service - Large: TOU-8, Option B (Under 2 kV)",Southern California Edison Co,674f36b9673ef28d960361a8,"Time-Of-Use - General Service - Large: TOU-8, Option B (Under 2 kV)",2024-10-01 06:00:00+00:00,539fb6fbec4f024bc1dc0657,"Time-Of-Use - General Service - Large: TOU-8, Option B (under 2 kV)",2014-01-01 13:00:00+00:00,True,10.746064339493497,-0.16024233106849806,False
539fb751ec4f024bc1dc0a8b,"Time of Use, General Service, Demand Metered, Option R: GS-2 TOU R - Three phase (at 220kV)",Southern California Edison Co,6753560af85ef1eed60bd850,"Time of Use, General Service, Demand Metered, Option R: GS-2 TOU R - Three phase (at 220kV)",2024-10-01 06:00:00+00:00,539fb751ec4f024bc1dc0a8b,"Time of Use, General Service, Demand Metered, Option R: GS-2 TOU R - Three phase (at 220kV)",2014-01-01 13:00:00+00:00,False,10.746064339493497,,False
539fb7aaec4f024bc1dc0e9f,A-10 Medium General Demand Service TOU (Primary Voltage),Pacific Gas & Electric Co,69de8a2d08c252b4010e1d41,A-10 Medium General Demand Service TOU (Primary Voltage),2026-03-27 07:00:00+00:00,574cc7015457a3f8595e629f,A-10 Medium General Demand Service TOU (Primary Voltage),2016-03-24 07:00:00+00:00,False,10.00684462696783,,False
539fb7dcec4f024bc1dc107d,A-10 Medium General Demand Service (Secondary Voltage),Pacific Gas & Electric Co,69de8950a6e15ebd62035b3d,A-10 Medium General Demand Service (Secondary Voltage),2026-03-27 07:00:00+00:00,574cc43b5457a3f9595e629f,A-10 Medium General Demand Service (Secondary Voltage),2016-03-24 07:00:00+00:00,False,10.00684462696783,,False
539fb825ec4f024bc1dc1427,Power-Agricultural and Pumping Demand Metered: PA-2 (at 220kV),Southern California Edison Co,67572f4fc33fc66a3504cc8f,Power-Agricultural and Pumping Demand Metered: PA-2 (at 220kV),2024-10-01 06:00:00+00:00,539fb825ec4f024bc1dc1427,Power-Agricultural and Pumping Demand Metered: PA-2 (at 220kV),2014-01-01 13:00:00+00:00,False,10.746064339493497,-0.16943609141423177,False
539fb88bec4f024bc1dc1897,"Time-Of-Use - General Service - Large: TOU-8, Option B (50kV - 220kV)",Southern California Edison Co,674f36c6d1b9875c3d07cd2b,"Time-Of-Use - General Service - Large: TOU-8, Option B (50kV - 220kV)",2024-10-01 06:00:00+00:00,539fb88bec4f024bc1dc1897,"Time-Of-Use - General Service - Large: TOU-8, Option B (above 50kV)",2014-01-01 13:00:00+00:00,True,10.746064339493497,-0.13658459085685748,False
539fb919ec4f024bc1dc1e5f,AL-TOU Secondary (Above 500kW),San Diego Gas & Electric Co,6772f0268322c2ebdc04e77e,AL-TOU Secondary (Above 500kW),2024-10-01 06:00:00+00:00,5405e7c85257a3d222af34b2,AL-TOU Secondary,2014-08-01 07:00:00+00:00,True,10.165639972621491,0.18138038892829944,False
539fb992ec4f024bc1dc23ef,Small Agricultural Service Nondemand Rate AG (ASN),Sacramento Municipal Utility District,68c0830d90fd5c0e640f7168,Small Agricultural Service Nondemand Rate AG (ASN),2025-05-01 07:00:00+00:00,557aeada5457a3be2b8ba37b,Small Agricultural Service Nondemand Rates AG (ASN),2015-04-10 07:00:00+00:00,True,10.05886379192334,,False
539fba43ec4f024bc1dc2bc9,Power - Agricultural and Pumping Connected Load Basis: PA-1 (at 220kV),Southern California Edison Co,675729ee736d71dbcf099ef0,Power - Agricultural and Pumping Connected Load Basis: PA-1 (at 220kV),2024-10-01 06:00:00+00:00,539fba43ec4f024bc1dc2bc9,Power - Agricultural and Pumping Connected Load Basis: PA-1 (at 220kV),2014-01-01 13:00:00+00:00,False,10.746064339493497,,False
539fba79ec4f024bc1dc2e2f,Agriculture Power AG-1 (Rate A),Pacific Gas & Electric Co,69de97d0f3508cead300dc5f,Agriculture Power AG-1 (Rate A),2026-03-27 07:00:00+00:00,574da8065457a3de795e629d,Agriculture Power AG-1 (Rate A),2016-03-24 07:00:00+00:00,False,10.00684462696783,0.08128713114493502,False
539fbd14ec4f024c27d877a5,"Time of Use, General Service, Demand Metered, Option R: GS-2 TOU R - Single phase (at 220kV)",Southern California Edison Co,67535631c8947b02cd012d4f,"Time of Use, General Service, Demand Metered, Option R: GS-2 TOU R - Single phase (at 220kV)",2024-10-01 06:00:00+00:00,539fbd14ec4f024c27d877a5,"Time of Use, General Service, Demand Metered, Option R: GS-2 TOU R - Single phase (at 220kV)",2014-01-01 13:00:00+00:00,False,10.746064339493497,,False
